Articulo,Valor_articulo,Tematica,Tipo,Valor_Tipo,Atributos,Valor_Atributos,Numero,Indicador,Resultado,Valor,Escala,Anio,Fuente,Observaciones,Link_1,Link_2,Link_3,Link_4,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Estructura,1,Tráfico de personas,4,13,"Programas inclusivos hacia niños y adultos con discapacidad que prevengan y protejan del tráfico y la explotación, incluyendo la mendicidad.",En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO,"En Uruguay, la legislación relevante sobre la trata de personas y el tráfico de órganos y miembros se centra principalmente en la Ley N° 19643, dedicada a la prevención, persecución y sanción de la trata y explotación de personas. Esta ley, aprobada en 2018, también se enfoca en la atención, protección y reparación de las víctimas de estos delitos. En su artículo 3, literal C, garantiza el respecto de los derechos humanos de las víctimas, sin discriminación alguna por motivos étnico - raciales, situación de discapacidad, sexo, género, edad, idioma, religión, orientación sexual, identidad de género, orientación política, origen, nacionalidad, apátridas, posición económica o cualquier otra condición social o migratoria.",https://www.impo.com.uy/bases/leyes/19643-2018,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,14,Porcentaje de refugios y otras residencias temporales para las víctimas de violencia que sean plenamente accesibles en términos de entorno físico y comunicación por ciudad/región.,No se tiene información para construir el indicador.,,,2023,INDDHH,"En su resolución 7776/19 de 5 de noviembre de 2019, la INDDHH llamaba la atención sobre ""la falta de cupo en programas para personas con discapacidad mental en situación de vulnerabilidad y violencia familiar del MIDES generó un riesgo a la madre y a sus hijas a vivir nuevas situaciones de violencia domestica"".",https://www.gub.uy/institucion-nacional-derechos-humanos-uruguay/comunicacion/publicaciones/informe-anual-asamblea-general-2022-0,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,15,Porcentaje de servicios sociales y de apoyo a las víctimas de violencia que sean accesibles en términos de entorno físico y de comunicación por ciudad y región.,No se tiene información para construir el indicador.,,,2023,INDDHH,"En su resolución 7776/19 de 5 de noviembre de 2019, la INDDHH llamaba la atención sobre ""la falta de cupo en programas para personas con discapacidad mental en situación de vulnerabilidad y violencia familiar del MIDES generó un riesgo a la madre y a sus hijas a vivir nuevas situaciones de violencia domestica"".",https://www.gub.uy/institucion-nacional-derechos-humanos-uruguay/comunicacion/publicaciones/informe-anual-asamblea-general-2022-0,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,17,"Proporción de la población que se siente segura cuando camina sola en su zona de residencia (basado en indicador de los ODS 16.1.4) por edad, sexo, discapacidad.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,18,"Presupuesto asignado y utilizado en la prevención y respuesta a la violencia, la explotación y el abuso dirigidos a las personas con discapacidad, incluyendo consultas y monitoreo de servicios. ",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,19,"Numero y proporción del personal de las fuerzas del orden y del sistema penal de justicia, educación, servicios sanitarios y servicios sociales para víctimas de la violencia, incluidos los refugios y otros centros, líneas de atención telefónica y mecanismos de denuncia que recibieron capacitación sobre la obligación de prevenir, identificar, investigar y sancionar la violencia, el abuso y la explotación contra las personas con discapacidad, incluida la lucha contra la discriminación basada en la discapacidad y las prácticas no consensuales, restrictivas o coercitivas.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,20,"Campañas y actividades de toma de conciencia para erradicar la violencia, el abuso, la explotación y las prácticas nocivas contra personas con discapacidad, incluida la lucha contra los estereotipos negativos, y la puesta a disposición de información y programas para educar a las personas con discapacidad sobre sus derechos, la búsqueda de protección, asistencia y servicios y el apoyo para acceder a la justicia, incluyendo la integración en los programas de estudio escolares y los programas de educación en derechos humanos ",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,21,Proporción de la población que considera que el abuso o la violencia contra las personas con discapacidad es aceptable o tolerable.,No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,22,"Procesos de consulta llevados a cabo para asegurar la participación activa de todas las personas con discapacidad, en particular mujeres con discapacidad incluyendo las organizaciones que las representan, en el diseño, la implementación y el monitoreo de leyes, reglamentos, políticas y programas, en relación con la violencia, los abusos y la explotación. ",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,23,"Proporción de víctimas de violencia en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente (indicador 16.3.1 de los ODS), desagregado por edad, sexo y discapacidad. ",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Proceso,2,General,9,24,"Proporción de denuncias recibidas sobre violencia, abuso o explotación de personas con discapacidad que hayan sido investigadas y resueltas; proporción de las mismas resueltas a favor del denunciante, y proporción de estas últimas cumplidas por el gobierno o el responsable; todas ellas desagregadas por tipo de mecanismo.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,General,9,25,"Proporción de la población que haya sufrido violencia física, psicológica o sexual en los últimos 12 meses (indicador 16.1.3 de los ODS) por edad, sexo y discapacidad.",,31.5,Porcentaje,2019,ENVBGG,"Según la ENVBGG de 2019, en los últimos 12 meses, 31.5% de las mujeres con discapacidad declaran haber experimentado VBG en ámbitos púbicos y privados. En el caso de las mujeres sin discapacidad, esta proporción es de 38.8%.",,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,General,9,26,"Proporción de mujeres y hombres jóvenes entre los 18 y los 29 años que sufrieron violencia sexual antes de cumplir los 18 años (indicador 16.2.3 de los ODS) por edad, sexo y discapacidad.",,13,Porcentaje,2019,ENVBGG,"Según la ENVBGG de 2019, 35% de las mujeres con discapacidad declaran haber experimentado VBG durante la infancia. En el caso de las mujeres sin discapacidad, esta proporción es de 37%. Al desglosar estas cifras por tipo de violencia, se encuentra que las mujeres con discapacidad presentan mayor prevalencia de violencia psicológica y sexual (25.3% y 13%, respectivamente), que las mujeres sin discapacidad (23.9% y 6.6%, respectivamente).",,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,Violencia doméstica,1,27,"Proporción de mujeres y niñas sometidas a violencia, abuso o explotación física, sexual o psicológica a manos de su pareja actual o anterior en los últimos 12 meses, desagregada por forma de violencia, abuso y explotación, por edad (indicador 5.2.1 de los ODS) y discapacidad.",,25.6,Porcentaje,2019,ENVBGG,"Según la ENVBGG de 2019, 25.6% de las mujeres con discapacidad declaran haber experimentado VBG por parte de su pareja o ex pareja en los últimos 12 meses. En el caso de las mujeres sin discapacidad, esta proporción es de 19.6%. Al desglosar estas cifras por tipo de violencia, se encuentra que las mujeres con discapacidad presentan mayor prevalencia de violencia psicológica, sexual y patrimonial (21.6%, 2.5%y 13.3%, respectivamente), que las mujeres sin discapacidad (18.4%, 1.7% y 4.4%, respectivamente).",,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,General,9,28,"Proporción de mujeres y niñas sometidas a violencia sexual por personas que no eran su pareja en los últimos 12 meses, por edad, lugar de ocurrencia (indicador 5.2.2 de los ODS) y discapacidad.",,19.4,Porcentaje,2019,ENVBGG,"Según la ENVBGG de 2019,19.4% de las mujeres con discapacidad declaran haber experimentado VBG en el ámbito familiar durante los últimos doce meses. En el caso de las mujeres sin discapacidad, esta proporción es de 18.2%. Al desglosar estas cifras por tipo de violencia, se encuentra que las mujeres con discapacidad presentan mayor prevalencia de violencia psicológica, física y sexual (18.2% 5.4% y 4.3%, respectivamente), que las mujeres sin discapacidad (18%, 1.1% y 1.9% respectivamente).",,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,Violencia en instituciones públicas y privadas,2,29,"Número de casos denunciados de explotación, violencia, abuso y explotación en instituciones públicas y privadas, por sexo, edad y discapacidad.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,General,9,30,Proporción de la población entre 1 y 17 años que hayan sufrido algún castigo físico y/o agresión psicológica a manos  de sus cuidadores en el último mes (indicador 16.2.1 de los ODS) por sexo y discapacidad.,No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,General,9,31,"Proporción de personas que hayan sido víctimas de acoso físico o sexual en los últimos 12 meses, desagregada por sexo, edad, grado de discapacidad y lugar del hecho (indicador 11.7.2 de los ODS).",,6.3,Porcentaje,2019,ENVBGG,"Según la ENVBGG de 2019, 6.4% de las mujeres con discapacidad han experimentado VBG en el ámbito social en los últimos 12 meses, mientras que en el caso de las mujeres sin discapacidad esta proporción es de 21.4%.",,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,Violencia en la comunidad,3,32,Proporción de mujeres casadas o en unión antes de los 15 y 18 años (indicador 5.3.1 de los ODS) por discapacidad.,No se tiene información para construir el indicador.,,,2023,ONU,"Para 2013, la proporción de mujeres de entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 18 años era de 24.6% en relación al total de mujeres casadas de entre 20 y 24 años. Este indicador no se encuentra desglozado por discapacidad.",https://agenda2030lac.org/estadisticas/banco-datos-regional-seguimiento-ods.html?indicator_id=4388&lang=es,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,Violencia en la comunidad,3,33,"Proporción de niñas y mujeres que hayan sufrido mutilación o ablación genital femenina, por edad (indicador 5.3.2 de los ODS) y discapacidad.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 16,16,"Protección contra la explotación, la violencia y el abuso",Resultado,3,Tráfico de personas,4,34,"Número de víctimas de trata de personas por cada 100.000 habitantes, por sexo, edad, forma de explotación (indicador 16.2.2 de los ODS) y discapacidad.",No se tiene información para construir el indicador.,,,2023,ONU,Para 2020 el número de víctimas detectadas de la trata de personas en Uruguay era de 10 personas menores de 18 años. No se tiene información desglozada por discapacidad.,https://agenda2030lac.org/estadisticas/banco-datos-regional-seguimiento-ods.html?indicator_id=4388&lang=es,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,General,9,1,"Legislación promulgada en la que se reconozca el derecho a vivir de forma independiente y a ser incluido en la comunidad como un derecho exigible de todas las personas con discapacidad, garantizando su autonomía y el control sobre su vida, independientemente de la deficiencia y el nivel de apoyo que necesiten.",,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO,"La Ley Nº 18.651 sobre la Protección Integral de Personas con Discapacidad, contempla diversos aspectos fundamentales para asegurar la inclusión y el ejercicio de los derechos de las personas con discapacidad. Entre las medidas incluidas se encuentran la protección jurídica sobre la casa habitada por la persona con discapacidad, como la constitución de “bien de familia” y el derecho real de habitación; prestación económica para la contratación de asistentes personales para personas con discapacidades severas, facilitando actividades básicas de la vida diaria, la prevención de discapacidades y la no discriminación en la afiliación y asistencia sanitaria por parte de hospitales y mutualistas; la facilitación de recursos educativos, físicos, recreativos, culturales y sociales a personas con discapacidad, promoviendo su integración desde la educación inicial; la obligación de emplear a personas con discapacidad en cargos públicos y promueve la inclusión laboral en el sector privado, con incentivos y beneficios para empleadores que contraten a personas con discapacidad y se prioriza la supresión de barreras físicas para lograr la accesibilidad, aplicando normas técnicas sobre accesibilidad en ámbitos urbanos y arquitectónicos.",https://www.impo.com.uy/bases/leyes/18651-2010,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,General,9,2,"Adopción de una estrategia o plan nacional integral con plazos y objetivos cuantificables para hacer efectivo este derecho, incluyendo la disponibilidad de opciones de vivienda y servicios de apoyo. 2.1. Adopción de una estrategia y/o plan nacional para lograr la desinstitucionalización de todos los niños y adultos con discapacidad con criterios de referencia, plazos y objetivos medibles. 2.2 Adopción de una moratoria sobre nuevas admisiones a instituciones mediante el internamiento forzoso de personas con discapacidad. 19.2.3 Adopción de una moratoria sobre nuevas admisiones de niños con discapacidad a instituciones (Ibid. 23.8).",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,No se encuentra una estrategia o plan nacional como los señalados en el el indicador. ,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,General,9,3,"Disposiciones legales que protejan a las personas con discapacidad contra los desalojos forzosos en igualdad de condiciones con los demás y en todas las formas de posesión de una vivienda (propiedad, contratos formales de alquiler, acuerdos informales, etc.) y garantizando la provisión continua de vivienda y del soporte necesario. ",En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO,"En Uruguay, la protección de las personas con discapacidad frente a desalojos forzosos y en lo que respecta a la posesión de vivienda se aborda principalmente a través de la Ley N° 18.651. La ley establece medidas específicas para proteger el derecho a la vivienda de las personas con discapacidad. Esto incluye la constitución de ""bien de familia"", una protección jurídica sobre la casa que habita la persona con discapacidad, resguardándola contra embargos y enajenaciones. Además, se contempla el derecho real de habitación, que permite a la persona con discapacidad permanecer en su vivienda mientras persista su condición.",https://www.impo.com.uy/bases/leyes/18651-2010,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,General,9,4,"Obligación legal de recopilar datos sobre el número y la proporción de personas con discapacidad que ejercen el derecho a elegir sus condiciones de vida, incluyendo en particular las que abandonan las instituciones para vivir en comunidad, y acceden a servicios de apoyo para vivir de forma independiente.",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,No se encuentra disposición legal en el sentido exigido por el indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,General,9,5,"Obligación legal de establecer un marcador de todos los gastos relacionados con el ejercicio, por parte de las personas con discapacidad, de su derecho a elegir sus modalidades de vivienda y a acceder a los servicios de apoyo para vivir de forma independiente.[iv]",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,No se encuentra disposición legal en el sentido exigido por el indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,Elección de sistemas de vida independiente,1,8,"Adopción de una estrategia y/o plan nacional para asegurar la disponibilidad y asequibilidad de opciones de vivienda accesibles y adaptables para las personas con discapacidad, en todas las áreas de la comunidad.",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,No se encontró información sobre planes o estragias en el sentido señalado por el indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,Servicios de apoyo,2,9,"Adopción de una estrategia y / o plan nacional para desarrollar y aumentar el acceso, la disponibilidad y la diversidad de subsidios y servicios de apoyo para personas con discapacidad, incluido el apoyo “dirigido por la persona / usuario“, apoyo adaptado a situaciones de angustia mental, crisis psicosocial y otras necesidades intermitentes o emergentes, y la provisión de dispositivos y tecnologías de asistencia.",En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,"El Plan Nacional de Cuidados de Uruguay para el período 2021-2025, presentado por el Ministerio de Desarrollo Social a través de su Secretaría Nacional de Cuidados y Discapacidad, se enfoca en varios aspectos clave para mejorar la calidad y el alcance de los servicios de cuidados en el país. Uno de los enfoques principales del plan es la humanización y la profesionalización de los servicios de cuidado. Esto incluye un mayor énfasis en la atención y las garantías jurídicas tanto para las personas que reciben cuidados como para los asistentes personales.",,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,Servicios de apoyo,2,11,"Adopción de una política nacional para garantizar el apoyo a las familias de los niños con discapacidad para evitar la separación familiar, incluyendo la provisión de servicios sociales adecuados y apropiados para el cuidado alternativo dentro de un entorno familiar, a fin de garantizar el derecho a la vida familiar y a la inclusión en la comunidad.",En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,MIDES,"El Plan Nacional de Cuidados de Uruguay para el período 2021-2025, presentado por el Ministerio de Desarrollo Social a través de su Secretaría Nacional de Cuidados y Discapacidad, identifica entre sus desafíos el asegurar en tiempo y forma las aperturas pendientes de Proyectos CAIF. Actualmente existen proyectos de CAIF mediante la modalidad de participación público-privada (PPP) y a través de la modalidad tradicional, con presupuesto de préstamo BID, que ya están licitados, algunos en etapa de construcción, que deberían comenzar a funcionar durante 2021 y 2022. Además, también quedan jardines de infantes de ANEP, de la modalidad PPP, pendientes de inaugurar. Toda esta expansión de cobertura también conlleva el desafío de asegurar la calidad de todos los servicios. También busca atender las necesidades específicas de familias, territorios o sectores de actividad que poseen déficit de servicios de cuidados para la infancia con énfasis en situaciones de vulnerabilidad multicausal. Es conveniente contar con un margen de disponibilidad presupuestal que permita atender algunas demandas específicas. En particular destacamos: a) necesidades de cuidado de niños y niñas de 0 a 2 años; b) residentes en zonas de baja densidad poblacional; c) hogares con jefatura femenina o cuyos adultos referentes necesiten.",https://www.gub.uy/ministerio-desarrollo-social/comunicacion/publicaciones/plan-nacional-cuidados-2021-2025,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Estructura,1,Accesibilidad y capacidad de respuesta de los servicios generales,3,13,"Adopción de una estrategia o plan para asegurar el diseño universal, la accesibilidad, la adecuación cultural y la capacidad de respuesta de los servicios generales para las personas con discapacidad, incluida la realización de ajustes razonables para las personas con discapacidad.",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,,No se encontró información sobre planes o estragias en el sentido señalado por el indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,14,"Número y proporción de personas con discapacidad a las que se les ha concedido vivienda social/pública en la comunidad, desglosadas por sexo, edad, discapacidad y ubicación geográfica",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Elección de sistemas de vida independiente,1,15,"Número y proporción de todos los funcionarios públicos y agentes privados involucrados en el mercado y en las políticas sobre vivienda, que reciban capacitación sobre los derechos de las personas con discapacidad y los aspectos relevantes.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Elección de sistemas de vida independiente,1,16,"Número y proporción de instalaciones de privación de libertad específicas para personas con discapacidad (como instituciones, incluidos los hogares para grupos, residencias para personas con discapacidad intelectual, etc.) cerradas por año, desglosadas por tipo de institución y ubicación geográfica.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Servicios de apoyo,2,17,"Número de personas, incluyendo a profesionales, con certificación para prestar servicios de apoyo en el hogar, residenciales y otros servicios de apoyo comunitario, incluida la asistencia personal para el apoyo a la vida y la inclusión en la comunidad, formas de apoyo no coercitivas adaptadas a situaciones de angustia mental o crisis psicosociales y otras formas de apoyo por cada 1000 personas con discapacidad, desglosado por tipo de certificación y/o profesión.",,4024,Cantidad de asistentes personales,2023,La Diaria,"Según información del MIDES, al 6 de febrero de 2023, había un total de 5407 usuarios activos en el programa de asistentes personales, de los cuales la mayoría son menores de 18 y mayores de 80 años, y el total de asistentes personales es de 4024.","https://ladiaria.com.uy/politica/articulo/2023/2/sistema-de-cuidados-anuncio-sobre-facilitadores-de-autonomias-reaviva-reclamos-sobre-las-carencias-del-programa/#:~:text=Actualmente%2C%20seg%C3%BAn%20informaci%C3%B3n%20del%20Ministerio,asistentes%20personales%20es%20de%204.024.",,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,18,"Número y proporción de personas con discapacidad que viven en instituciones que tienen acceso a apoyo y programas, incluida la asistencia económica, para facilitar la transición desde el cuidado institucional a la vida en la comunidad.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,19,Número y proporción del personal que está capacitado para apoyar la transición desde la atención institucional a la vida independiente y la inclusión en la comunidad para personas con discapacidad.,No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,20,"Campaña y actividades sobre concienciación para promover el derecho de las personas con discapacidad a vivir de forma independiente y en comunidad, dirigida al público en general y, en particular, a las personas con discapacidad y sus familiares, incluida la difusión de información sobre la gama de derechos, servicios y viviendas disponibles.",,1,Cantidad de campañas,2020,MEC,"En ocasión del Día Internacional de las Personas con discapacidad, el MEC llevó adelante una serie de eventos de difusión vinculados a la accesibilidad en 2020.",https://www.gub.uy/ministerio-educacion-cultura/comunicacion/campanas/diciembre-mes-accesibilidad-discapacidades,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,21,"Presupuesto asignado a medidas destinadas a garantizar el derecho de las personas con discapacidad a elegir sus condiciones de vida y a acceder a los servicios de apoyo para vivir de manera independiente, y promedio gastado por persona en comparación con el gasto por persona con discapacidad institucionalizada.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,22,"Procesos de consulta emprendidos para asegurar la participación activa de las personas con discapacidad, incluso a través de sus organizaciones, en la elaboración, aplicación y supervisión de leyes, reglamentos, políticas y programas destinados a garantizar el derecho a vivir de forma independiente y a ser incluido en la comunidad. ",,1,Cantidad de procesos de consulta,2020,AUCI,"En 2020, se desarrolló la Guía de derechos y apoyos para personas con discapacidad en Uruguay, que proporciona información sobre los servicios y prestaciones que el Estado ofrece, basándose en la Guía de Recursos del Ministerio de Desarrollo Social de Uruguay. Esta guía busca orientar a las personas con discapacidad y a sus familias en la búsqueda de apoyos necesarios para desarrollar una vida plena. En su elaboración participaron tres tipos de actores: instituciones del Estado, agencias de la ONU y organizaciones de derechos de las personas con discapacidad.",https://www.gub.uy/agencia-uruguaya-cooperacion-internacional/comunicacion/publicaciones/guia-derechos-apoyos-para-personas-discapacidad-uruguay,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,General,9,23,"Número de denuncias relacionadas con el derecho de las personas con discapacidad a vivir de manera independiente y a ser incluido en la comunidad que han sido investigadas y resueltas; proporción de las mismas resueltas a favor del denunciante, y proporción de estas últimas cumplidas por el gobierno o el responsable; todas ellas desglosadas por tipo de mecanismo. ",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Accesibilidad y capacidad de respuesta de los servicios generales,3,24,"Formación del personal de servicios generales sobre los derechos de las personas con discapacidad, en particular sobre la no discriminación y la realización de ajustes razonables, para aumentar la capacidad de respuesta a sus necesidades individuales.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Accesibilidad y capacidad de respuesta de los servicios generales,3,25,Presupuesto asignado a la accesibilidad y a la realización de ajustes razonables en servicios generales.,No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Proceso,2,Accesibilidad y capacidad de respuesta de los servicios generales,3,26,Proporción de proveedores de servicios generales que cumplen plenamente con las normas de accesibilidad nacionales.,No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Resultado,3,Elección de sistemas de vida independiente,1,27,"Número y proporción de personas adultas con discapacidad que son cabezas de familia, desglosados por edad, sexo, discapacidad y tipo de derecho (propietario, arrendatario, etc.), en comparación con otras personas.",,52.4,Porcentaje,2011,INE,"Según datos del Censo 2011, 53.5% de los varones con discapacidad permanente eran jefes de hogar, mientras que en el caso de las mujeres, esta proporción es 51.6%",,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Resultado,3,Elección de sistemas de vida independiente,1,28,"Número de personas que viven en viviendas sociales, desglosado por sexo, edad y discapacidad. ",,2.6,Porcentaje,2011,INE,"Según datos del Censo 2021, 2.5% de los varones con discapacidad permenente son integrantes de cooperativa de vivienda, mientras que en el caso de las mujeres, esta proporción es del 2.7%",,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Resultado,3,Elección de sistemas de vida independiente,1,29,"Número y proporción de adultos con discapacidad que declaran estar satisfechos con su nivel de independencia en su modalidad de vivienda  desglosado por edad, sexo y discapacidad.",No se tiene información para construir el indicador.,,,2023,INE,No se cuenta con la información necesaria para medir este indicador.,,,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Resultado,3,Servicios de apoyo,2,30,"Número y proporción de personas con discapacidad que tienen acceso a servicios de apoyo basados en la comunidad, incluida la asistencia personal, del total de solicitudes presentadas, desglosadas por edad, sexo, discapacidad y servicios de apoyo prestados. ",No se tiene información para construir el indicador.,,,2023,La Diaria,"Según información del MIDES, al 6 de febrero de 2023, había un total de 5407 usuarios activos en el programa de asistentes personales, de los cuales la mayoría son menores de 18 y mayores de 80 años, y el total de asistentes personales es de 4024. Sin embargo, se desconoce la cantidad de usuarios que son personas con discapacidad.","https://ladiaria.com.uy/politica/articulo/2023/2/sistema-de-cuidados-anuncio-sobre-facilitadores-de-autonomias-reaviva-reclamos-sobre-las-carencias-del-programa/#:~:text=Actualmente%2C%20seg%C3%BAn%20informaci%C3%B3n%20del%20Ministerio,asistentes%20personales%20es%20de%204.024.",,,,,
Artículo 19,19,Derecho a vivir de forma independiente y a ser incluido en la comunidad,Resultado,3,Servicios de apoyo,2,31,"Numero y proporción de personas con discapacidad que cuentan con dispositivos técnicos y tecnologías de asistencia para la vida independiente, del total de solicitudes realizadas, desglosadas por edad, sexo, discapacidad y dispositivo técnico provisto.",No se tiene información para construir el indicador.,,,2023,,No se cuenta con la información necesaria para medir este indicador.,,,,,,
